registry_index,strategy_id,strategy_name,version,strategy_generation,parent_strategy_id,stage_origin,side_family,side_detail,horizon_rule,sample_scope,trades,wins,losses,win_rate,pnl_5_shares,turnover_5_shares,roi,source_label,source_rule_id,overlay_regime,overlay_threshold_pp,overlay_definition,parent_full_trades,parent_full_roi,comparable_baseline_trades,comparable_baseline_roi,retention_vs_comparable,retention_vs_parent_full,evidence_class,research_status,robustness_status,live_status,criterion_roi_improved,criterion_retention_at_least_half,criterion_drawdown_not_worse,criterion_temporal_stability,criterion_not_one_month,criterion_stress5_not_lower,criterion_top_winner_positive,max_drawdown_5_shares,positive_blocks,blocks_with_trades,largest_month_pnl_share,provenance_artifact,provenance_sha256,notes
1,NO_C1,NO C1 — favorite-switch fade,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,"T−30, смена фаворита",Confirmation 136,6,6,0,1.0,8.424999999999999,21.575000000000006,0.3904982618771725,NO successful candidates freeze / confirmation,NO_CONFIRMATION_FREEZE,BASELINE,,Frozen original strategy; no volatility overlay.,6,0.3904982618771725,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
35,NO_A0_V2_VOL,NO A0 — legacy NO Fade — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_A0,STAGE_A,NO,NO,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (24 comparable of 31 parent trades),17,15,2,0.8823529411764706,10.167499999999997,64.8325,0.15682720857594568,Stage A volatility overlay on parent NO_A0,NO_CONFIRMATION_FREEZE+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,31,0.1529669018984196,24,0.13366999896939089,0.7083333333333334,0.5483870967741935,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,True,True,True,True,False,True,4.895,3,4,0.46585076983813656,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
36,NO_A2_V2_VOL,NO A2 — direct actual-NO edge — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_A2,STAGE_A,NO,NO,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (37 comparable of 48 parent trades),17,12,5,0.7058823529411765,21.2025,38.7975,0.5464913976416006,Stage A volatility overlay on parent NO_A2,NO_CONFIRMATION_FREEZE+VOL_OVERLAY_A_V1,VOL_CONFIRMATION,2.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.02.,48,0.28136309327977,37,0.28980608432663224,0.4594594594594595,0.3541666666666667,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,4.0225,3,4,0.3542120911793855,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
37,NO_FADE_P1_U1_T18_V2_VOL,NO Fade P1 U1 — isolated T−18h — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_FADE_P1_U1_T18,STAGE_A,NO,NO,T−18h only,Stage A volatility-model OOS comparable subset; not the full parent sample (19 comparable of 19 parent trades),10,9,1,0.9,4.247499999999998,40.752500000000005,0.10422673455616213,Stage A volatility overlay on parent NO_FADE_P1_U1_T18,EARLY_CONFIDENCE_V2+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,19,0.0721345528863872,19,0.0721345528863872,0.5263157894736842,0.5263157894736842,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,True,True,True,True,False,True,3.4750000000000005,2,3,0.4655228229200389,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
38,NO_FADE_P2_U1_OPERATIONAL_V2_VOL,NO Fade P2 U1 — operational late — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_FADE_P2_U1_OPERATIONAL,STAGE_A,NO,NO,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (68 comparable of 82 parent trades),21,18,3,0.8571428571428571,8.354999999999997,81.645,0.10233327209259596,Stage A volatility overlay on parent NO_FADE_P2_U1_OPERATIONAL,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,82,0.059575734264211706,68,0.05554822535954608,0.3088235294117647,0.25609756097560976,MEDIUM,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,False,True,False,True,4.932499999999999,2,4,0.4150513112884834,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
39,NO_FADE_P2_U1_T60_V2_VOL,NO Fade P2 U1 — isolated T−60m — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_FADE_P2_U1_T60,STAGE_A,NO,NO,T−60m only,Stage A volatility-model OOS comparable subset; not the full parent sample (45 comparable of 51 parent trades),13,12,1,0.9230769230769231,11.747499999999999,48.252500000000005,0.2434588881405108,Stage A volatility overlay on parent NO_FADE_P2_U1_T60,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,51,0.089647167509564,45,0.10942742721073706,0.28888888888888886,0.2549019607843137,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,3.4250000000000007,3,4,0.3598615916955017,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
40,NO_FADE_P2_U2_OPERATIONAL_V2_VOL,NO Fade P2 U2 — operational late — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_FADE_P2_U2_OPERATIONAL,STAGE_A,NO,NO,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (58 comparable of 68 parent trades),18,16,2,0.8888888888888888,9.932499999999997,70.0675,0.14175616369928995,Stage A volatility overlay on parent NO_FADE_P2_U2_OPERATIONAL,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,68,0.06995956956052723,58,0.0729281653960033,0.3103448275862069,0.2647058823529412,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,4.932499999999999,3,4,0.40191387559808606,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
41,NO_FADE_P2_U2_T60_V2_VOL,NO Fade P2 U2 — isolated T−60m — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,NO_FADE_P2_U2_T60,STAGE_A,NO,NO,T−60m only,Stage A volatility-model OOS comparable subset; not the full parent sample (44 comparable of 49 parent trades),13,12,1,0.9230769230769231,11.747499999999999,48.252500000000005,0.2434588881405108,Stage A volatility overlay on parent NO_FADE_P2_U2_T60,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,49,0.0934257775127048,44,0.11206872584725733,0.29545454545454547,0.2653061224489796,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,3.4250000000000007,3,4,0.3598615916955017,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
42,YES_FAVORITE_ONLY_V2_VOL,YES favorite-only control — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,YES_FAVORITE_ONLY,STAGE_A,YES,YES,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (69 comparable of 82 parent trades),11,11,0,1.0,12.34250030517578,42.657499694824224,0.28933951575866357,Stage A volatility overlay on parent YES_FAVORITE_ONLY,FAVORITE_BASKET+VOL_OVERLAY_A_V1,VOL_CONFIRMATION,2.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.02.,82,0.0529048638737,69,0.06450560731416452,0.15942028985507245,0.13414634146341464,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,0.0,4,4,0.46060360678883505,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
43,YES_PF1_OPERATIONAL_V2_VOL,YES PF1 — operational late — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,YES_PF1_OPERATIONAL,STAGE_A,YES,YES,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (106 comparable of 131 parent trades),28,16,12,0.5714285714285714,18.7775,61.222500000000004,0.30670913471354483,Stage A volatility overlay on parent YES_PF1_OPERATIONAL,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_CONFIRMATION,2.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.02.,131,0.10200341757038993,106,0.11057638914596672,0.2641509433962264,0.21374045801526717,MEDIUM,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,3.8274999999999997,4,4,0.5554070473876064,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
44,YES_PF1_T30_V2_VOL,YES PF1 — isolated T−30m — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,YES_PF1_T30,STAGE_A,YES,YES,T−30m only,Stage A volatility-model OOS comparable subset; not the full parent sample (69 comparable of 69 parent trades),22,11,11,0.5,4.8525,50.1475,0.09676454459344933,Stage A volatility overlay on parent YES_PF1_T30,EARLY_CONFIDENCE_V2+VOL_OVERLAY_A_V1,VOL_CONFIRMATION,2.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.02.,69,0.0479826334306459,69,0.04798263343064598,0.3188405797101449,0.3188405797101449,MEDIUM,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,False,4.922499999999999,3,4,0.4772625947391886,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
45,YES_PF1_T60_V2_VOL,YES PF1 — isolated T−60m — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,YES_PF1_T60,STAGE_A,YES,YES,T−60m only,Stage A volatility-model OOS comparable subset; not the full parent sample (92 comparable of 92 parent trades),25,14,11,0.56,16.625,53.375,0.3114754098360656,Stage A volatility overlay on parent YES_PF1_T60,EARLY_CONFIDENCE_V2+VOL_OVERLAY_A_V1,VOL_CONFIRMATION,2.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.02.,92,0.0994188785927438,92,0.09941887859274381,0.2717391304347826,0.2717391304347826,MEDIUM,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,False,True,3.8274999999999997,4,4,0.5017103762827823,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
46,YES_STRICT_A_OPERATIONAL_V2_VOL,YES Strict Favorite A — operational — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,YES_STRICT_A_OPERATIONAL,STAGE_A,YES,YES,T−60 primary → T−30 fallback,Stage A volatility-model OOS comparable subset; not the full parent sample (39 comparable of 50 parent trades),12,11,1,0.9166666666666666,11.684999999999999,43.315000000000005,0.26976797876024466,Stage A volatility overlay on parent YES_STRICT_A_OPERATIONAL,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_CONFIRMATION,2.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.02.,50,0.10420316760791251,39,0.07446008380788649,0.3076923076923077,0.24,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,False,True,True,True,True,True,2.6750000000000003,3,4,0.45160167130919215,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
47,YES_STRICT_A_T60_V2_VOL,YES Strict A — isolated T−60m — V2 volatility overlay,V2,VOLATILITY_OVERLAY_DERIVATIVE,YES_STRICT_A_T60,STAGE_A,YES,YES,T−60m only,Stage A volatility-model OOS comparable subset; not the full parent sample (24 comparable of 28 parent trades),14,13,1,0.9285714285714286,9.384999999999998,55.615,0.16874943810123164,Stage A volatility overlay on parent YES_STRICT_A_T60,EARLY_HORIZON_FULL+VOL_OVERLAY_A_V1,VOL_VETO_ONLY,0.0,Accept only when parent baseline_accept=true and p_vol_side - stressed_actual_q_3c >= 0.,28,0.1150423501661841,24,0.10619469026548667,0.5833333333333334,0.5,LIMITED,IMPROVED_BUT_THIN,NOT_ROBUST,DISABLED_RESEARCH_ONLY,True,True,True,True,True,False,True,3.4750000000000005,3,4,0.5759717314487632,BTC_VOLATILITY_OVERLAY_AUDIT_V1_ANALYSIS_PACK.zip,75b2048911202790cfbeef4632e2c07cb8d89d123eb57ecddbf599eae44e6927,Independent V2 research candidate. Parent V1 remains intact. The V2 result was selected on the same Stage A history and is not a proven live edge. No full robustness gate passed.
